id,no_of_products,timestamp,address_id,customer_id,login_id_id,order_price,payment_status,return_delivery,payment_request_id,payment_mode,security_deposit
167,1,2016-06-03 11:32:34.123691-04,178,54,257,2144,,,3b78cd7595f04f5095887aa9907e7a18,online,
168,1,2016-06-04 05:56:20.743677-04,179,55,258,6862,,,,cod,
169,1,2016-06-04 10:31:28.236331-04,180,57,260,1867,,,,cod,
170,1,2016-06-05 11:32:20.034305-04,181,60,262,1929,,,,cod,
171,2,2016-06-05 11:37:15.056187-04,182,59,263,6217,,,,cod,
172,1,2016-06-05 11:44:30.994633-04,183,25,264,2360,,,,cod,
173,1,2016-06-05 11:50:51.106092-04,184,25,265,427,,,,cod,
174,1,2016-06-06 05:43:37.478051-04,185,61,267,3859,,,,cod,
175,1,2016-06-08 10:53:53.15282-04,186,62,268,2143,,,,cod,
176,5,2016-06-09 01:28:06.757388-04,187,63,269,9106,,,,cod,
177,1,2016-06-09 11:40:05.12703-04,188,65,271,3216,,,,cod,
178,2,2016-06-10 02:12:56.517176-04,189,66,273,12437,,,,cod,
179,1,2016-06-10 03:25:24.80945-04,190,67,274,2143,,,,cod,
180,5,2016-06-10 11:17:03.366631-04,191,68,275,9323,,,,cod,
181,3,2016-06-11 09:39:36.980192-04,192,69,276,3641,,,,cod,
182,1,2016-06-12 11:24:45.188873-04,193,71,278,7972,,,,cod,
183,1,2016-06-13 03:22:54.726565-04,194,72,279,1394,,,,cod,
184,1,2016-06-13 04:17:07.810306-04,195,73,280,7508,,,3afb0d9096844aa4b1cb3641bb185ec7,online,
134,1,2016-05-24 05:04:23.181491-04,142,38,219,1714,done,done,,,
123,3,2016-05-19 01:34:38.033898-04,131,33,207,2850,done,done,,,
122,1,2016-05-18 10:49:26.736737-04,130,32,206,850,done,done,,,
126,2,2016-05-19 03:53:14.826441-04,134,36,210,1900,done,done,,,
132,1,2016-05-23 01:44:05.879299-04,140,39,217,1500,done,done,f2929f0935494df99c506a669baa9a4c,,
133,1,2016-05-23 11:23:00.595674-04,141,40,218,2789,done,done,,,
185,1,2016-06-13 04:17:45.170136-04,196,73,281,7508,,,,cod,
138,1,2016-05-25 04:00:19.3523-04,146,42,223,1900,done,"",,,
139,1,2016-05-25 04:04:30.158552-04,147,43,224,1800,done,done,,,
143,1,2016-05-27 00:16:26.98008-04,151,46,228,1071,NA,NA,,,
144,1,2016-05-27 00:40:04.258877-04,152,47,229,901,NA,NA,8075070e972c4f6f8fe58be8afd4c23f,,
186,2,2016-06-14 07:17:53.996019-04,197,75,283,4286,,,,cod,
140,2,2016-05-25 04:10:41.630292-04,148,44,225,13725,done,done,,,
127,1,2016-05-20 16:05:15.578546-04,135,37,211,706,NA,NA,,,
125,1,2016-05-19 01:44:18.292332-04,133,35,209,4288,NA,NA,,,
124,1,2016-05-19 01:37:40.453383-04,132,34,208,2360,NA,NA,,,
146,1,2016-05-27 09:55:38.784476-04,154,50,232,1822,,,c022a48e29f94e9b8840972cae9cb691,,
187,1,2016-06-15 03:00:03.450043-04,198,76,284,2094,,,dea44b3df5a740c5a66942b23f8b411d,online,
188,1,2016-06-15 07:04:57.403446-04,199,77,286,1071,,,,cod,
189,3,2016-06-16 06:31:14.186308-04,200,43,288,9034,,,,cod,
190,1,2016-06-16 11:37:15.484443-04,201,78,289,750,,,,cod,
191,1,2016-06-16 11:37:26.029513-04,202,78,290,750,,,,cod,
192,4,2016-06-17 05:23:59.296694-04,203,79,291,11360,,,3ca3603646304890b468028aa139721c,online,
193,2,2016-06-17 07:00:29.890505-04,204,80,292,2785,,,,cod,
194,1,2016-06-17 12:12:20.439865-04,205,81,293,535,,,,cod,
195,1,2016-06-17 12:25:24.992829-04,206,82,295,856,,,e3734af3980f41888e9dcdae6306cd0e,online,
145,1,2016-05-27 02:58:04.645819-04,153,42,230,1500,done,done,,cod,
141,1,2016-05-25 04:12:46.810448-04,149,44,226,400,done,done,,"",
142,3,2016-05-25 05:16:14.620627-04,150,45,227,2100,done,done,,"",
159,1,2016-05-28 09:48:00.319849-04,170,51,248,658,done,"",,cod,
160,2,2016-06-03 06:08:30.562947-04,171,52,250,3857,,,,cod,
161,1,2016-06-03 08:47:59.059775-04,172,53,251,2358,,,,cod,
162,1,2016-06-03 08:48:08.044384-04,173,53,252,2358,,,,cod,
163,1,2016-06-03 08:48:09.270219-04,174,53,253,2358,,,,cod,
164,1,2016-06-03 10:55:14.157937-04,175,54,254,2144,,,23b5745154e247b28737a18d6ba27fed,online,
165,1,2016-06-03 11:08:32.172587-04,176,54,255,2144,,,d87bfa7804324e16943d9fcf9fb6b9bc,online,
166,1,2016-06-03 11:09:24.644836-04,177,54,256,2144,,,71243c0728964fe39ae2783e2d6e5320,online,
196,1,2016-06-17 12:31:14.559164-04,207,82,296,856,,,e62b4d149da241d7a89ba110c4ef7609,online,
197,5,2016-06-18 02:19:35.40776-04,208,83,297,11462,,,,cod,
198,3,2016-06-18 04:04:46.884838-04,209,84,298,6000,,,,cod,
199,1,2016-06-19 08:58:00.850984-04,210,85,299,1929,,,,cod,
200,2,2016-06-20 09:44:54.528438-04,211,86,300,2599,,,,cod,
201,2,2016-06-20 09:48:50.16753-04,212,87,301,2570,,,,cod,
202,1,2016-06-20 12:51:37.977051-04,213,88,302,53625,,,,cod,
203,1,2016-06-21 02:32:25.725156-04,214,83,303,2143,,,,cod,
204,1,2016-06-21 08:46:48.220713-04,215,89,305,5918,,,,cod,
205,1,2016-06-21 12:20:06.922062-04,216,90,306,1929,,,757a2c22295842c5add1419273ff3e31,online,
206,2,2016-06-21 13:54:17.689297-04,217,91,307,2765,,,,cod,
207,1,2016-06-22 02:09:45.116016-04,218,92,308,1529,,,,cod,
208,1,2016-06-22 05:18:49.00688-04,219,93,310,1071,,,c931616359d245fb839e9341ad9d7dae,online,
209,1,2016-06-22 06:48:45.056945-04,220,94,311,3859,,,,cod,
210,1,2016-06-22 07:22:59.845335-04,221,95,312,427,,,bb4d9dff67bb46e08e2b8d71dac2cb81,online,
211,1,2016-06-22 07:46:39.80335-04,222,96,313,5361,,,,cod,
212,1,2016-06-22 13:12:18.85428-04,223,97,314,2574,,,,cod,
213,1,2016-06-22 13:41:01.251043-04,224,98,315,427,,,,cod,
